,0,1,2,cluster
101,7.07,6.78,6.95,1
102,7.29,6.86,7.51,1
104,7.25,6.2,5.73,1
106,7.82,6.13,6.88,1
107,7.34,6.43,6.56,1
112,7.41,6.18,7.23,1
113,7.0,4.8,7.8,1
114,7.7,6.44,7.67,1
118,7.18,6.08,7.53,1
119,7.68,5.37,6.31,1
120,7.23,6.9,5.7,1
122,7.6,9.45,6.04,1
123,7.66,7.58,6.2,1
124,7.6,6.36,7.68,1
125,7.6,5.55,6.58,1
131,8.29,5.84,6.44,1
134,7.4,8.3,6.16,1
138,8.84,6.79,7.82,1
139,7.34,6.6,5.16,1
140,7.04,7.07,5.93,1
142,9.87,7.25,6.6,1
145,8.17,6.45,5.77,1
146,6.63,6.86,6.95,1
147,7.19,4.77,6.88,1
148,8.19,8.1,6.13,1
149,8.16,6.73,6.22,1
150,8.39,6.55,7.33,1
151,7.08,7.28,6.74,1
152,7.2,6.65,5.13,1
153,8.09,6.95,5.03,1
155,6.83,5.67,6.83,1
156,10.2,7.52,7.76,1
157,7.04,5.69,5.79,1
158,7.46,6.73,6.49,1
160,5.61,6.19,6.03,1
163,7.34,6.2,6.42,1
164,6.69,6.83,4.98,1
166,7.23,6.0,6.73,1
167,8.15,8.56,5.69,1
169,8.46,6.38,6.34,1
174,5.91,5.75,5.59,1
175,7.28,6.84,7.61,1
176,7.63,5.98,5.65,1
177,6.58,6.96,5.75,1
178,7.62,6.23,7.82,1
179,6.61,6.75,6.52,1
181,7.23,6.63,6.43,1
182,7.43,4.5,6.46,1
183,7.21,7.52,6.96,1
185,7.79,5.2,7.39,1
186,7.86,5.7,7.06,1
188,9.34,9.42,6.8,1
189,7.54,6.36,7.27,1
192,7.93,7.35,7.0,1
194,7.59,6.73,7.61,1
195,6.53,6.83,6.91,1
197,7.85,5.63,6.17,1
198,8.6,7.38,6.81,1
199,8.55,8.47,5.33,1
