,0,1,2,cluster
0,10.8,9.76,9.6,2
1,9.93,10.5,9.59,2
2,11.9,9.9,9.92,2
3,11.4,10.8,12.2,2
4,12.3,12.5,9.45,2
5,9.84,9.5,9.02,2
6,10.3,11.1,10.2,2
7,10.0,8.27,10.6,2
8,9.34,9.53,10.9,2
9,10.0,8.18,10.6,2
10,9.81,10.3,9.82,2
11,9.5,10.4,10.5,2
12,9.05,9.71,9.9,2
13,9.86,9.19,8.67,2
14,9.65,10.6,9.24,2
15,8.91,10.6,9.16,2
16,10.0,12.0,9.25,2
17,9.99,9.44,9.59,2
18,10.0,8.7,10.0,2
19,8.35,10.4,8.31,2
20,10.9,9.64,9.12,2
21,11.6,10.6,9.24,2
22,11.6,10.5,11.7,2
23,11.0,11.1,9.77,2
24,8.82,9.54,10.6,2
25,9.27,9.84,8.91,2
26,11.2,7.89,8.45,2
27,12.6,10.2,9.87,2
28,10.8,9.92,9.8,2
29,8.77,12.4,10.3,2
30,10.5,10.7,7.87,2
31,10.4,8.35,9.78,2
32,12.2,10.7,9.46,2
33,10.2,9.47,10.6,2
34,10.3,11.2,11.3,2
35,10.4,11.0,7.89,2
36,10.1,8.12,10.3,2
37,10.1,10.0,10.4,2
38,9.34,10.7,11.8,2
39,9.77,9.89,9.99,2
40,11.4,7.79,10.7,2
41,10.9,10.1,11.2,2
42,9.57,9.39,10.0,2
43,9.78,9.89,8.97,2
44,8.29,10.7,8.32,2
45,9.66,10.6,10.4,2
46,10.1,11.3,9.71,2
47,11.2,11.5,9.68,2
48,10.7,9.03,9.68,2
49,9.34,10.4,9.5,2
50,10.8,12.0,9.47,2
51,8.16,10.3,11.2,2
52,9.36,8.71,8.38,2
53,10.2,10.8,9.2,2
54,10.9,10.1,10.6,2
55,9.02,10.4,10.5,2
56,9.26,9.54,10.5,2
57,8.77,7.5,9.72,2
58,11.2,9.03,10.2,2
59,10.0,10.1,10.4,2
60,11.1,9.18,9.99,2
61,11.6,10.6,9.7,2
62,9.68,9.67,9.23,2
63,8.75,9.72,10.3,2
64,10.6,9.8,12.4,2
65,8.26,8.3,10.0,2
66,9.46,10.1,9.66,2
67,9.32,8.74,10.8,2
68,9.33,10.2,9.53,2
69,11.6,10.9,10.6,2
70,11.0,11.2,9.37,2
71,11.6,10.3,11.5,2
72,12.2,9.77,11.2,2
73,10.1,10.3,10.9,2
74,10.3,8.2,9.69,2
75,10.9,10.6,10.2,2
76,10.2,10.9,10.6,2
77,11.2,9.85,9.23,2
78,10.5,9.42,10.6,2
79,9.9,9.97,11.0,2
80,9.78,11.3,9.18,2
81,9.03,9.78,10.4,2
82,8.8,10.3,9.82,2
83,10.8,9.43,8.64,2
84,8.92,10.7,8.95,2
85,10.5,9.68,11.9,2
86,10.8,9.6,10.1,2
87,10.5,9.74,9.94,2
88,11.2,10.4,10.7,2
89,7.85,10.2,8.74,2
90,10.3,9.7,10.2,2
91,10.5,9.35,10.1,2
92,10.6,9.4,8.68,2
93,8.98,10.5,9.36,2
94,9.47,10.9,9.58,2
95,8.46,10.2,13.3,2
96,9.48,7.81,10.2,2
97,8.47,9.43,10.2,2
98,11.2,11.4,10.9,2
99,11.3,9.93,10.7,2
