,0,1,cluster
0,-1.152308172,0.294349514,2
1,-1.112781599,0.017824945,2
2,-1.111425558,0.04973018,2
3,-1.089972969,0.015369896,2
4,-1.088810659,0.260137806,2
5,-1.079498907,0.140847317,2
6,-1.076362977,0.136235403,2
7,-1.06595361,0.154895823,2
8,-1.060800002,0.084828334,2
9,-1.053570669,0.233552571,2
10,-1.047750545,0.007657275,2
11,-1.046669802,0.300319515,2
12,-1.043371271,0.147281353,2
13,-1.039191607,0.035121734,2
14,-1.038041363,0.612949552,2
15,-1.036219009,0.192067723,2
16,-1.029796376,0.328244659,2
17,-1.02154501,0.347954275,2
18,-1.021074363,-0.016633203,2
19,-1.020697127,0.126154074,2
20,-1.015311109,0.095731885,2
21,-1.013662792,-0.068293487,2
22,-1.013118301,0.020293949,2
23,-1.006061439,0.334157725,2
24,-1.004586549,0.23998876,2
25,-1.00047959,0.183408528,2
26,-0.998543239,0.466838345,2
27,-0.994825226,0.567167759,2
28,-0.994591114,0.005258624,2
29,-0.991431536,0.37836681,2
30,-0.982923711,0.118220575,2
31,-0.978734923,0.593660117,2
32,-0.976259387,0.52471706,2
33,-0.968277798,0.445120816,2
34,-0.963983579,0.392424307,2
35,-0.96326726,0.469185224,2
36,-0.962634203,0.118971374,2
37,-0.961488221,0.309489044,2
38,-0.961468998,0.167307989,2
39,-0.960481785,0.360944645,2
40,-0.959566428,0.548639195,2
41,-0.956695275,0.149520081,2
42,-0.945782046,0.295645161,2
43,-0.940654397,0.382214906,2
44,-0.940649999,0.39475225,2
45,-0.938224206,0.487103682,2
46,-0.936546379,0.35804983,2
47,-0.936269817,0.36473638,2
48,-0.932990636,0.465572964,2
49,-0.930402209,0.455991891,2
50,-0.930127512,0.504986018,2
51,-0.927696741,0.073298629,2
52,-0.926194155,0.435164864,2
53,-0.925665068,0.213960339,2
54,-0.922829385,0.387031754,2
55,-0.921883504,0.393531048,2
56,-0.919511851,0.734435294,2
57,-0.916280796,0.562541062,2
58,-0.91283169,0.279527503,2
59,-0.912406944,0.379624802,2
60,-0.911543316,0.183467183,2
61,-0.909595066,-0.052412702,2
62,-0.907825204,0.42026153,2
63,-0.90646663,0.399056458,2
64,-0.905206753,0.441823123,2
65,-0.904929457,0.449533714,2
66,-0.903718239,0.343037055,2
67,-0.903481976,0.206967647,2
68,-0.897398546,0.208226901,2
69,-0.894526638,-0.043179793,2
70,-0.890045401,0.144898138,2
71,-0.887495503,0.209290647,2
72,-0.886136254,0.473151939,2
73,-0.885560646,0.256781596,2
74,-0.883303384,0.765061544,2
75,-0.882336632,0.164036055,2
76,-0.880714155,0.591384096,2
77,-0.880171793,0.249137148,2
78,-0.8719709,0.35565543,2
79,-0.867797448,0.549177785,2
80,-0.867197421,0.577628164,2
81,-0.863158682,0.216984327,2
82,-0.860801914,0.10184352,2
83,-0.858573533,0.288294517,2
84,-0.854333466,0.34552988,2
85,-0.854324074,0.607081204,2
86,-0.853935394,0.188134667,2
87,-0.852323138,0.451831067,2
88,-0.852319498,0.314864529,2
89,-0.84603117,0.380494095,2
90,-0.842385858,0.539631256,2
91,-0.838996778,0.547476163,2
92,-0.835870823,0.612416346,2
93,-0.833009782,0.635109379,2
94,-0.828170132,0.348053444,2
95,-0.822585945,0.476183836,2
96,-0.819027906,0.649559911,2
97,-0.81553219,0.772230674,2
98,-0.814488933,0.533852268,2
99,-0.812206711,0.599599168,2
100,-0.80960908,0.541107757,2
101,-0.80378462,0.571801859,2
102,-0.803331766,0.478333906,2
103,-0.802984037,0.262288384,2
104,-0.801149478,0.512157,2
105,-0.801136958,0.708265905,2
106,-0.800293906,0.637130193,2
107,-0.799441592,0.773468792,2
108,-0.792141697,0.71327118,2
109,-0.787520465,0.628328814,2
110,-0.787130692,0.748262082,2
111,-0.786990251,0.68701432,2
112,-0.786466222,0.568637716,2
113,-0.785402576,0.608585306,2
114,-0.779735884,0.511701077,2
115,-0.778706283,0.610509115,2
116,-0.771089836,0.569496046,2
117,-0.768404595,0.743905151,2
118,-0.767336032,0.551404714,2
119,-0.766099741,0.818386668,2
120,-0.761424062,0.601738925,2
121,-0.734764438,0.589079411,2
122,-0.733842197,0.566119426,2
123,-0.733286845,0.743282286,2
124,-0.712485459,0.714285066,2
125,-0.68818744,0.751263217,2
126,-0.682991856,0.738231028,2
127,-0.677589287,0.693644167,2
128,-0.672677125,0.679037126,2
129,-0.664288251,0.724235774,2
130,-0.662723999,0.743226509,2
131,-0.656908798,0.799041771,2
132,-0.654550412,0.757315309,2
133,-0.653594316,0.774051635,2
134,-0.653447902,0.726210859,2
135,-0.640855778,0.783600768,2
136,-0.636857221,0.666960152,2
137,-0.635655336,0.796762049,2
138,-0.627228255,0.92538615,2
139,-0.619529474,0.798405045,2
140,-0.613424049,0.797946868,2
141,-0.612178219,0.680003724,2
142,-0.61115506,0.820444413,2
143,-0.610308586,0.646659887,2
144,-0.610298242,0.770461035,2
145,-0.60219588,0.730879251,2
146,-0.597833354,0.820026744,2
147,-0.593091028,0.998511004,2
148,-0.591500695,0.780093878,2
149,-0.586755598,0.712911842,2
150,-0.58602153,0.822924429,2
151,-0.579457011,0.837017195,2
152,-0.57837086,0.826852849,2
153,-0.570415962,0.957500538,2
154,-0.568146259,0.857647083,2
155,-0.561954741,0.755352683,2
156,-0.559994154,0.864947368,2
157,-0.550413406,0.863190821,2
158,-0.540316262,0.764100034,2
159,-0.538811255,0.894813019,2
160,-0.534814085,0.826461463,2
161,-0.525676009,0.932666524,2
162,-0.52349321,0.901123896,2
163,-0.510010455,0.674168283,2
164,-0.506727523,0.877699174,2
165,-0.506145833,0.919376107,2
166,-0.500695423,0.926977935,2
167,-0.495647834,0.687782661,2
168,-0.484705867,0.905854515,2
169,-0.484223495,0.850244141,2
170,-0.4756918,0.822049345,2
171,-0.474682543,0.990856131,2
172,-0.474091238,0.847054082,2
173,-0.471426255,0.927032428,2
174,-0.46400225,0.866090442,2
175,-0.459969109,0.9124838,2
176,-0.459181873,0.854367688,2
177,-0.45752086,0.917743715,2
178,-0.438101055,0.941387243,2
