,0,1,2,cluster
101,5.92,6.38,5.05,1
102,5.94,4.48,5.57,1
106,6.29,5.22,5.16,1
108,6.13,6.21,4.35,1
109,6.59,5.35,4.26,1
113,7.4,6.04,6.21,1
115,5.29,6.72,4.63,1
116,5.54,5.13,5.8,1
121,8.08,6.84,5.21,1
123,6.35,4.3,3.89,1
124,7.12,4.61,6.13,1
125,6.42,4.87,6.52,1
128,6.44,4.98,6.45,1
131,5.99,5.21,4.92,1
135,5.15,4.8,5.08,1
142,6.55,5.21,4.9,1
143,5.0,4.37,5.03,1
147,6.12,5.59,4.65,1
151,7.6,6.97,5.65,1
155,6.38,5.94,5.33,1
156,6.76,6.71,5.9,1
157,4.86,4.93,3.8,1
158,7.08,5.28,4.87,1
160,5.81,6.22,5.29,1
162,6.78,5.77,5.07,1
164,5.03,5.42,5.26,1
165,6.87,4.01,3.56,1
166,7.15,5.62,4.77,1
168,6.94,6.84,4.97,1
169,6.45,5.43,3.68,1
171,7.77,5.44,5.51,1
177,5.43,6.2,4.85,1
178,7.26,5.5,5.88,1
181,6.84,6.49,4.83,1
183,6.25,5.97,4.41,1
184,6.21,5.86,4.42,1
186,7.49,4.32,5.79,1
188,7.1,6.28,5.45,1
189,6.48,6.26,5.86,1
190,6.34,4.88,5.95,1
191,6.57,4.82,5.33,1
192,6.53,6.74,5.75,1
193,5.4,5.21,5.15,1
194,6.63,5.22,6.03,1
195,5.42,7.24,3.8,1
196,5.0,5.12,5.17,1
198,4.38,5.89,4.55,1
