,0,1,2,cluster
100,7.07,7.32,6.67,2
103,5.42,6.74,6.83,2
104,5.9,7.15,6.88,2
105,5.41,5.63,6.51,2
107,3.94,5.01,6.1,2
110,5.77,6.57,5.59,2
111,6.52,7.96,5.53,2
112,6.86,7.91,6.96,2
114,4.54,5.84,7.19,2
117,4.09,6.03,6.02,2
118,5.26,7.47,6.09,2
119,6.4,6.51,7.05,2
120,6.58,6.06,6.72,2
122,4.92,5.96,6.64,2
126,6.48,7.08,7.41,2
127,5.66,4.37,6.84,2
129,5.63,7.09,5.73,2
130,5.63,6.61,6.02,2
132,4.54,7.07,7.19,2
133,6.72,6.2,6.75,2
134,5.76,6.08,5.76,2
136,6.15,4.6,7.78,2
137,4.91,5.94,5.77,2
138,5.85,5.93,7.08,2
139,5.66,6.83,5.89,2
140,3.43,4.48,6.57,2
141,4.91,7.03,7.96,2
144,5.24,6.83,6.04,2
145,4.88,7.61,5.29,2
146,4.96,6.48,7.03,2
148,6.09,5.97,6.37,2
149,5.16,5.05,6.18,2
150,4.82,6.23,5.31,2
152,5.94,6.41,7.2,2
153,6.09,6.43,7.21,2
154,4.34,4.92,6.05,2
159,4.66,5.88,7.36,2
161,6.71,7.79,6.51,2
163,5.86,5.09,7.32,2
167,5.88,5.4,6.11,2
170,4.38,7.49,5.11,2
172,4.7,6.46,5.76,2
173,4.28,7.39,5.71,2
174,6.36,5.94,6.43,2
175,6.2,6.91,7.01,2
176,5.4,5.43,6.52,2
179,6.74,6.22,6.43,2
180,6.26,6.78,6.26,2
182,5.57,7.09,7.97,2
185,4.26,5.95,6.24,2
187,5.79,4.6,7.19,2
197,6.5,4.36,7.2,2
199,6.68,5.9,6.33,2
