,0,1,2,cluster
0,10.8,9.76,9.6,0
1,9.93,10.5,9.59,0
2,11.9,9.9,9.92,0
3,11.4,10.8,12.2,0
4,12.3,12.5,9.45,0
5,9.84,9.5,9.02,0
6,10.3,11.1,10.2,0
7,10.0,8.27,10.6,0
8,9.34,9.53,10.9,0
9,10.0,8.18,10.6,0
10,9.81,10.3,9.82,0
11,9.5,10.4,10.5,0
12,9.05,9.71,9.9,0
13,9.86,9.19,8.67,0
14,9.65,10.6,9.24,0
15,8.91,10.6,9.16,0
16,10.0,12.0,9.25,0
17,9.99,9.44,9.59,0
18,10.0,8.7,10.0,0
19,8.35,10.4,8.31,0
20,10.9,9.64,9.12,0
21,11.6,10.6,9.24,0
22,11.6,10.5,11.7,0
23,11.0,11.1,9.77,0
24,8.82,9.54,10.6,0
25,9.27,9.84,8.91,0
26,11.2,7.89,8.45,0
27,12.6,10.2,9.87,0
28,10.8,9.92,9.8,0
29,8.77,12.4,10.3,0
30,10.5,10.7,7.87,0
31,10.4,8.35,9.78,0
32,12.2,10.7,9.46,0
33,10.2,9.47,10.6,0
34,10.3,11.2,11.3,0
35,10.4,11.0,7.89,0
36,10.1,8.12,10.3,0
37,10.1,10.0,10.4,0
38,9.34,10.7,11.8,0
39,9.77,9.89,9.99,0
40,11.4,7.79,10.7,0
41,10.9,10.1,11.2,0
42,9.57,9.39,10.0,0
43,9.78,9.89,8.97,0
44,8.29,10.7,8.32,0
45,9.66,10.6,10.4,0
46,10.1,11.3,9.71,0
47,11.2,11.5,9.68,0
48,10.7,9.03,9.68,0
49,9.34,10.4,9.5,0
50,10.8,12.0,9.47,0
51,8.16,10.3,11.2,0
52,9.36,8.71,8.38,0
53,10.2,10.8,9.2,0
54,10.9,10.1,10.6,0
55,9.02,10.4,10.5,0
56,9.26,9.54,10.5,0
57,8.77,7.5,9.72,0
58,11.2,9.03,10.2,0
59,10.0,10.1,10.4,0
60,11.1,9.18,9.99,0
61,11.6,10.6,9.7,0
62,9.68,9.67,9.23,0
63,8.75,9.72,10.3,0
64,10.6,9.8,12.4,0
65,8.26,8.3,10.0,0
66,9.46,10.1,9.66,0
67,9.32,8.74,10.8,0
68,9.33,10.2,9.53,0
69,11.6,10.9,10.6,0
70,11.0,11.2,9.37,0
71,11.6,10.3,11.5,0
72,12.2,9.77,11.2,0
73,10.1,10.3,10.9,0
74,10.3,8.2,9.69,0
75,10.9,10.6,10.2,0
76,10.2,10.9,10.6,0
77,11.2,9.85,9.23,0
78,10.5,9.42,10.6,0
79,9.9,9.97,11.0,0
80,9.78,11.3,9.18,0
81,9.03,9.78,10.4,0
82,8.8,10.3,9.82,0
83,10.8,9.43,8.64,0
84,8.92,10.7,8.95,0
85,10.5,9.68,11.9,0
86,10.8,9.6,10.1,0
87,10.5,9.74,9.94,0
88,11.2,10.4,10.7,0
89,7.85,10.2,8.74,0
90,10.3,9.7,10.2,0
91,10.5,9.35,10.1,0
92,10.6,9.4,8.68,0
93,8.98,10.5,9.36,0
94,9.47,10.9,9.58,0
95,8.46,10.2,13.3,0
96,9.48,7.81,10.2,0
97,8.47,9.43,10.2,0
98,11.2,11.4,10.9,0
99,11.3,9.93,10.7,0
100,7.07,7.32,6.67,0
101,5.92,6.38,5.05,0
102,5.94,4.48,5.57,0
103,5.42,6.74,6.83,0
104,5.9,7.15,6.88,0
105,5.41,5.63,6.51,0
106,6.29,5.22,5.16,0
107,3.94,5.01,6.1,0
108,6.13,6.21,4.35,0
109,6.59,5.35,4.26,0
110,5.77,6.57,5.59,0
111,6.52,7.96,5.53,0
112,6.86,7.91,6.96,0
113,7.4,6.04,6.21,0
114,4.54,5.84,7.19,0
115,5.29,6.72,4.63,0
116,5.54,5.13,5.8,0
117,4.09,6.03,6.02,0
118,5.26,7.47,6.09,0
119,6.4,6.51,7.05,0
120,6.58,6.06,6.72,0
121,8.08,6.84,5.21,0
122,4.92,5.96,6.64,0
123,6.35,4.3,3.89,0
124,7.12,4.61,6.13,0
