,0,1,cluster
0,4.57,7.83,1
1,4.9,6.24,1
2,5.23,7.99,1
3,5.28,6.42,1
4,5.4,7.77,1
5,5.52,7.55,1
6,5.54,8.0,1
7,5.62,7.07,1
8,5.63,7.84,1
9,5.65,7.22,1
10,5.71,7.65,1
11,5.75,7.07,1
12,5.79,7.04,1
13,5.91,6.1,1
14,5.99,7.02,1
15,6.0,7.27,1
16,6.02,7.28,1
17,6.03,6.04,1
18,6.06,7.33,1
19,6.07,6.44,1
20,6.07,6.83,1
21,6.08,4.6,1
22,6.13,6.11,1
23,6.13,6.75,1
24,6.19,7.22,1
25,6.19,7.25,1
26,6.19,7.18,1
27,6.31,7.57,1
28,6.35,5.62,1
29,6.36,5.42,1
30,6.41,5.98,1
31,6.45,6.05,1
32,6.45,7.41,1
33,6.46,7.5,1
34,6.47,7.78,1
35,6.48,6.59,1
36,6.49,5.44,1
37,6.49,6.68,1
38,6.51,7.6,1
39,6.53,6.64,1
40,6.65,7.4,1
41,6.67,7.11,1
42,6.73,6.73,1
45,6.79,5.58,1
46,6.8,5.64,1
48,6.86,7.05,1
50,6.87,7.37,1
52,6.92,5.73,1
53,6.96,5.94,1
54,7.01,4.95,1
55,7.04,6.72,1
57,7.07,5.15,1
59,7.15,6.18,1
61,7.2,7.29,1
63,7.25,6.27,1
64,7.26,6.87,1
65,7.27,6.41,1
66,7.27,6.72,1
68,7.31,6.2,1
70,7.34,6.76,1
71,7.35,6.95,1
72,7.36,6.02,1
73,7.38,6.25,1
74,7.46,5.07,1
80,7.59,5.71,1
81,7.59,6.67,1
83,7.63,5.96,1
85,7.65,6.85,1
87,7.79,6.74,1
99,8.31,5.1,1
